unit	function	fuzzy	verdict	evidence
mario/MoveBG/MapObjBall	TMapObjBall::touchWall(JGeometry::TVec3<float>*, TBGWallCheckRecord*)	98.01	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 11 effect 5: 0x52ec 'lfs f1,52(r5)' vs 0x5a34 'stfs f0,0(r29)') not confirmed by symx
mario/GC2D/GCConsole2	TGCConsole2::startAppearBalloon(unsigned long, bool)	98.02	EQUIVALENT	retail compares unk3E0 with itself (inlined startDisappearBalloon param test), always false; recorded in the source TODO
mario/NPC/NpcInitPrg	TBaseNPC::setIndividualDifference_(JSUMemoryInputStream&)	98.03	EQUIVALENT	J3DGXColorS10 argument differs only in a neighbour slot (int->float scratch)
mario/Enemy/walker	TWalker::bind(TLiveActor*)	98.04	EQUIVALENT	same y >= f + 0.05f test; the operands sort the other way because y differs by stack-temporary identity
mario/Enemy/fireWanwan	TTailRubber::restrict()	98.06	UNSURE	symx loose 24 not resolved
mario/Map/BathWaterManager	TBathWaterManager::perform(unsigned long, JDrama::TGraphics*)	98.06	EQUIVALENT	ours calls TVec3::dot where retail inlines it; remaining residue is stack-temporary identity (setMax temporaries)
mario/Camera/cameragc	CPolarSubCamera::calcSlopeAngleX_(short*)	98.07	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 11 branch: 0x1be4 'bc 12,eq,1bec <calcSlopeAngleX___15CPolarSubC) not confirmed by symx
mario/Enemy/Kazekun	TKazekun::calcRootMatrix()	98.08	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 20 effect 2 call args differ: f6/f8: 0x281c 'bl 281c <calcRootMa) not confirmed by symx
mario/System/EventWatcher	evGetTalkNPCName(TSpcTypedInterp<TEventWatcher>*, unsigned long)	98.08	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 6 effect 2 stored value differs: 0x86e4 'stw r0,4(r4)' vs 0x8940) not confirmed by symx
mario/Enemy/enemyMario	TEnemyMario::emReplayJumpToNearestNode()	98.09	EQUIVALENT	rand() has no arguments: garbage registers
mario/Enemy/Koopa	TKoopa::setUpHitActors()	98.09	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 31 effect 7 address differs: 0x3138 'lfs f31,12(r3)' vs 0x3990 ') not confirmed by symx
mario/GC2D/CardLoad	TCardLoad::waitForStart(TEProgress)	98.09	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/EventWatcher	evStartMareBottleDemo(TSpcTypedInterp<TEventWatcher>*, unsigned long)	98.09	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/BathWaterManager	TBathWaterMeshRenderer::render(JDrama::TGraphics*, const TBathtubData&, TBathWater**, TBathWaterParams**, int)	98.10	EQUIVALENT	GX colour words equal; the other words are neighbour slots
mario/Enemy/graph	TGraphTracer::calcSplineSpeed(float)	98.12	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/fireWanwan	TFireWanwan::calcRootMatrix()	98.15	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 6 effect 4 address differs: 0x5520 'lfs f31,40(r3)' vs 0x6ee8 'l) not confirmed by symx
mario/Enemy/koopajr	TDirectionCalc::calcTurnDirection(float, float)	98.17	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/emario	TEMario::perform(unsigned long, JDrama::TGraphics*)	98.18	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bossManta	TBossMantaManager::loadAfter()	98.18	EQUIVALENT	u16 id argument zero-extended in retail only; values are small constants + index; equiv-check DIFFERENT (block 2 effect 1 call args differ: r5: 0x1320 'bl 1320 <loadAfter__17T) not confirmed by symx
mario/Enemy/BossHanachanSub	TSphereLink::setDegreeZAndRevisionPosXZ(int, float)	98.19	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/BossHanachanMain	TBossHanachan::perform(unsigned long, JDrama::TGraphics*)	98.19	EQUIVALENT	fabs(d) < 0.001f vs < (double)0.001f: same test for a float d; emitParticle_ has no r4 argument
mario/GC2D/GCConsole2	TGCConsole2::startDisappearCoin()	98.19	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 16 effect 0 call args differ: f2: 0xbec0 'bl bec0 <startDisappea) not confirmed by symx
mario/System/MarDirectorSetupObjects	TMarDirector::setupObjects()	98.19	UNSURE	578 effects; insert/push_back argument identity and an extra null test on getGlbResource in ours; not resolved
mario/Enemy/cannon	TCannon::killerShoot()	98.22	EQUIVALENT	velocity stored from a stack temporary; only the slot identity differs
mario/Player/ModelWaterManager	TModelWaterManager::drawMirror(float(*)[4])	98.23	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/BathtubKiller	TBathtubKiller::moveChasing()	98.24	EQUIVALENT	void: f1 at blr is garbage; equiv-check DIFFERENT (block 15 return value f1 differs (0x2bb4 'bclr 20,lt,0')) not confirmed by symx
mario/GC2D/ConsoleStr	TConsoleStr::perform(unsigned long, JDrama::TGraphics*)	98.25	EQUIVALENT	retail re-tests the same condition after the st1 (two ifs), ours merges them; the store does not change the tested value
mario/MoveBG/ModelGate	TModelGate::perform(unsigned long, JDrama::TGraphics*)	98.26	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Camera/CameraNormal	CPolarSubCamera::ctrlNormalOrTowerCamera_()	98.27	BUG, fixed 44107bc2	CNBackRatio diving/hovering arm: retail takes abs of the s16-narrowed (angle - unk258) (extsh. test), ours of the raw int: wrong once the yaw difference wraps past 180 deg; fixed as CLBAbs<int>((s16)(...)), 98.27 -> 98.32
mario/GC2D/Guide	TGuide::changeBotStatus(int)	98.28	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/NPC/NpcCallback	NPCNeckCallBack(J3DNode*, int)	98.28	EQUIVALENT	CLBRoundf argument from a stack temporary; slot identity only
mario/Enemy/bossgesso	TBossGesso::perform(unsigned long, JDrama::TGraphics*)	98.29	EQUIVALENT	retail calls showMessage(4), ours expands it (flag test, startAppearBalloon(4, true), flag |= 2)
mario/Enemy/Kumokun	TNerveKumokunSearch::execute(TSpineBase<TLiveActor>*) const	98.30	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/tinkoopa	TTinKoopaPartsBase::emitPartsDisappearEffects(const char**, int, float)	98.31	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/Application	TApplication::mountStageArchive()	98.31	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/JSystem/JAudio/JAInterface/JAIGFrameSe	JAIBasic::checkNextFrameSe()	98.31	EQUIVALENT	getParamSeCategoryMax is static: r3 is garbage
mario/Map/MapWarp	TMapWarp::init(JSUMemoryInputStream&)	98.32	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 11 effect 28 stored value differs: 0x300 'stwx r12,r8,r7' vs 0x3) not confirmed by symx
mario/Player/MarioMove	TMario::gunExec()	98.32	EQUIVALENT	retail has a redundant bool test whose two successors are identical
mario/GC2D/CardSave	TCardSave::perform(unsigned long, JDrama::TGraphics*)	98.33	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjMamma	TLeanMirror::release()	98.33	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosseel	TBossEel::collideToMario()	98.34	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/SelectMenu	TSelectGrad::perform(unsigned long, JDrama::TGraphics*)	98.36	EQUIVALENT	GXSetChanAmbColor colour word equal; the other words are neighbour slots
mario/Map/MapCheck	TMapCollisionData::checkWalls(TBGWallCheckRecord*) const	98.36	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/hinokuri2	TNerveHino2Turn::execute(TSpineBase<TLiveActor>*) const	98.37	EQUIVALENT	angle-wrap phi nesting only
mario/Enemy/bosspakkun	TBPHeadHit::receiveMessage(THitActor*, unsigned long)	98.37	EQUIVALENT	returns bool: f1 at blr is garbage; equiv-check DIFFERENT (block 54 effect 4 icall args differ: f1/f2: 0x7ef8 'bclrl 20,lt,0' vs ) not confirmed by symx
mario/GC2D/Guide	TGuide::resetScore()	98.37	UNSURE	symx loose 8 not resolved
mario/Enemy/koopajr	TDirectionCalc::sub(float)	98.38	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/SelectShine2	TSelectShineManager::initData(unsigned char*, unsigned char, unsigned char, JPAEmitterManager*)	98.38	EQUIVALENT	cCenter reached by name vs section-relative: same object
mario/MoveBG/MapObjDolpic	TMonumentShine::hitByWater(THitActor*)	98.38	EQUIVALENT	static local up$ named vs section-relative: same object
mario/System/CardManager	TCardManager::readBlock_(unsigned long)	98.39	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MSound/MSoundStruct	MSSetSoundTL<MSSetSoundGrp>::startSoundSetDyna(unsigned long, const Vec*, unsigned long, float, unsigned long, unsigned long, unsigned char, MSSetSoundGrp*)	98.41	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MSound/MSoundStruct	MSSetSoundTL<MSSetSound>::startSoundSetDyna(unsigned long, const Vec*, unsigned long, float, unsigned long, unsigned long, unsigned char, MSSetSoundGrp*)	98.41	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/Talk2D2	TTalk2D2::perform(unsigned long, JDrama::TGraphics*)	98.41	EQUIVALENT	u8 store of min(x+4,255) with an extra clrlwi 16 (same byte); retail has a dead compare with identical successors
mario/Enemy/pakkun	TPakkunSeed::rebirth()	98.45	UNSURE	switch dispatch: retail one unsigned range test (x-257) vs 4, ours x==257 then (x-258) < 3; bodies look shared, not proven
mario/Enemy/koopajr	TKoopaJrSubmarine::calcRootMatrix()	98.46	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Koopa	TKoopaHead::receiveMessage(THitActor*, unsigned long)	98.46	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/BathtubKiller	TBathtubKiller::perform(unsigned long, JDrama::TGraphics*)	98.47	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 47 effect 0 call args differ: r4: 0x33c0 'bl 33c0 <perform__14TB) not confirmed by symx
mario/Player/WaterGun	TNozzleTrigger::animation(int)	98.47	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/MarDirectorDirect	TMarDirector::direct()	98.47	BUG, fixed 44107bc2	unk4E&1 clear: retail performs mPerformListMovement (this+0x28); ours performed mShinePfLstMov in both arms so the movement list never ran; fixed, fuzzy unchanged 98.47
mario/Enemy/fireWanwan	JGeometry::TRotation3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float>>>::setQuat(const JGeometry::TQuat4<float>&)	98.50	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/CardSave	TCardSave::waitForStop(TEProgress)	98.50	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/MapCheck	TMapCollisionData::checkGroundList(float, float, float, unsigned char, const TBGCheckList*, const TBGCheckData**)	98.50	EQUIVALENT	returns float: r3 at blr is garbage; equiv-check DIFFERENT (block 17 effect 0 address differs: 0x117c 'lfs f31,16(r3)' vs 0x14dc ') not confirmed by symx
mario/Player/WaterGun	TNozzleBase::TNozzleBase(const char*, const char*, TWaterGun*)	98.52	EQUIVALENT	calcKeyCode is static: r3 is garbage; equiv-check DIFFERENT (block 0 effect 0 address differs: 0x44d8 'stw r5,0(r3)' vs 0x4b50 'stw) not confirmed by symx
mario/Enemy/pakkun	TNervePakkunAppear::execute(TSpineBase<TLiveActor>*) const	98.55	EQUIVALENT	checkPass result tested with a record-form instruction instead of cmpwi
mario/Enemy/bosseel	TBossEelTooth::perform(unsigned long, JDrama::TGraphics*)	98.55	EQUIVALENT	bool tested with and without clrlwi
mario/System/MarDirectorDirect	TMarDirector::nextStateInitialize(unsigned char)	98.55	UNSURE	loop over the fader table in index vs pointer form plus TColor stack arguments; not resolved
mario/MarioUtil/MtxUtil	SMS_MakeJointsToArc(J3DModel*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	98.56	EQUIVALENT	equiv-check EQUIVALENT; symx residue (loose 36) is stack-temporary/phi noise
mario/Enemy/popo	TPopo::walkBehavior(int, float)	98.57	EQUIVALENT	rand() has no arguments: r3/r4 are garbage; equiv-check DIFFERENT (block 7 effect 0 address differs: 0x21fc 'lwz r3,0(r4)' vs 0x276c 'lwz) not confirmed by symx
mario/Map/MapCheck	TMapCollisionData::checkRoofList(float, float, float, unsigned char, const TBGCheckList*, const TBGCheckData**)	98.57	EQUIVALENT	returns float: r3 at blr is garbage; equiv-check DIFFERENT (block 9 effect 0 address differs: 0x1420 'lfs f31,16(r3)' vs 0x1780 'l) not confirmed by symx
mario/Player/MarioSpecial	TMario::pulling()	98.57	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/GCLogoDir	TGCLogoDir::direct_dolby()	98.57	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 15 effect 0: 0x10c 'lwz r0,28(r29)' vs -) not confirmed by symx
mario/System/MarDirectorDirect	TMarDirector::moveStage()	98.57	EQUIVALENT	setColor TColor argument: first word equal; the other words are neighbour slots
mario/MoveBG/MapObjLib	TMapObjBase::makeMtxRotByAxis(const JGeometry::TVec3<float>&, float, float(*)[4])	98.59	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosswanwan	TBWBinder::bind(TLiveActor*)	98.61	UNSURE	symx loose 28 not resolved
mario/Enemy/BossHanachanAnm	TBossHanachan::setHeadAndBodyAnm(EnumBossHanachanAnmKind, EnumBossHanachanStopMotionBlendOnOff)	98.61	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/MarioMove	TMario::setStatusToJumping(unsigned long, unsigned long)	98.61	EQUIVALENT	only where the *1.0f factor associates in the speed products (x*1.0f is exact); equiv-check DIFFERENT (block 1 effect 1: 0x65b4 'lfs f3,24(r30)' vs 0x6c54 'lwz r3,0(0)') not confirmed by symx
mario/Enemy/tinkoopa	TTinKoopa::reset()	98.63	EQUIVALENT	retail has a dead cmpwi r0,2 (empty == 2 arm) with no branch
mario/Enemy/bgtentacle	TBGTakeHit::perform(unsigned long, JDrama::TGraphics*)	98.64	EQUIVALENT	void: r3 at blr is garbage
mario/Map/BathWaterManager	TBathtubData::getGravityDir(float) const	98.64	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjInit	TMapObjBase::makeMActors()	98.65	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosswanwan	TBossWanwan::control()	98.66	EQUIVALENT	a bool is materialised and re-tested before the st4 this+0x164; same stores
mario/Player/WaterGun	TWaterGun::init()	98.66	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 8 effect 14 icall args differ: r5: 0x187c 'bclrl 20,lt,0' vs 0x1) not confirmed by symx
mario/Enemy/cannon	TChorobei::checkHit()	98.68	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 34 effect 2 icall args differ: r5/r6: 0x4a88 'bclrl 20,lt,0' vs ) not confirmed by symx
mario/System/MarDirectorDirect	decideNextScenario(unsigned char)	98.68	EQUIVALENT	returns u8 in r3: f1 is garbage
mario/Enemy/bosswanwan	TBWLeash::perform(unsigned long, JDrama::TGraphics*)	98.69	EQUIVALENT	angle-wrap phi nesting only
mario/MarioUtil/ShadowUtil	TMBindShadowParts::calc(float)	98.70	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/namekuri	TNameIndParCallback::execute(JPABaseEmitter*, JPABaseParticle*)	98.71	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/hanasambo	TNerveSamboHeadHitWater::execute(TSpineBase<TLiveActor>*) const	98.71	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 59 effect 0 address differs: 0x6c0 'lwz r12,0(r30)' vs 0x7d8 'lw) not confirmed by symx
mario/Enemy/BathtubKiller	TBathtubKiller::isAboided()	98.73	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MSound/MSound	MSSeCallBack::setParameterSeqSync(JASystem::TTrack*, unsigned short)	98.75	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 72 return value r4 differs (0x2ba0 'bclr 20,lt,0')) not confirmed by symx
mario/MoveBG/MapObjLib	TMapObjTurn::control()	98.75	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/fireWanwan	TFireWanwan::updatePollute()	98.77	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 9 effect 2 icall args differ: f4/f5: 0x4b14 'bclrl 20,lt,0' vs 0) not confirmed by symx
mario/Enemy/bossManta	TBossMantaAdditionalCollisionSet::adapt(TBossManta*)	98.77	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/NPC/NpcParts	TNpcParts::partsPerform(unsigned long, JDrama::TGraphics*)	98.78	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 30 return value r4 differs (0x1ac 'bclr 20,lt,0')) not confirmed by symx
mario/Enemy/tinkoopa	TTinKoopaLaunchOrder::checkOrder()	98.79	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 0 branch: 0x2bc8 'bc 4,eq,2cf0 <checkOrder__20TTinKoopaLaunchOrd) not confirmed by symx
mario/Animal/BeeHive	TBeeHive::receiveMessage(THitActor*, unsigned long)	98.80	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/M3DUtil/M3UJoint	M3UMtxCalcBlendAux(unsigned short, J3DTransformInfo*, J3DTransformInfo*, float, bool)	98.80	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/JSystem/JKernel/JKRExpHeap	JKRExpHeap::allocFromHead(unsigned long, int)	98.80	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MarioUtil/MathUtil	MsGetRotFromZaxis(const JGeometry::TVec3<float>&)	98.81	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/enemyMario	TEnemyMario::findRunAwayNearestNode()	98.82	UNSURE	getPoint receiver differs only through a rotated-loop entry the tool cannot follow (a3 vs a4 at the header)
mario/MarioUtil/ShadowUtil	TMBindShadowManager::drawShadowGD(unsigned long, JDrama::TGraphics*)	98.82	EQUIVALENT	local class names differ only in the length prefix of the file-name suffix (26TSetup1$ShadowUtil_cpp vs 25...); equiv-check DIFFERENT (block 1 effect 7 stored value differs: 0x1b8c 'stw r0,0(r20)' vs 0x1b8) not confirmed by symx
mario/System/MarDirectorDirect	TMarDirector::changeState()	98.82	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/conductor	TConductor::isBossDefeated()	98.83	BUG, fix pending	retail switch sends every map except 3 to the hinokuri arm (cmpwi 2 / cmpwi 4 tree); ours has only case 2 and falls off the end without a return for other maps; `default:` on case 2 fixes it but 98.83 -> 95.6: pending-conductor-isBossDefeated.patch
mario/MoveBG/MapObjCorona	TBathtub::updatePosture_()	98.83	EQUIVALENT	equiv-check EQUIVALENT; symx residue (loose 22) is stack-temporary/phi noise
mario/Enemy/effectObj	TEffectObjBase::moveObject()	98.84	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 3 effect 1 call args differ: f1/f2: 0x1d44 'bl 1d44 <moveObject_) not confirmed by symx
mario/Enemy/Kukku	TKukku::calcRootMatrix()	98.84	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/BathWaterManager	TBathWaterManager::throwMario(float)	98.84	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 7 effect 0 address differs: 0x2288 'lfs f1,4(r31)' vs 0x2310 'lf) not confirmed by symx
mario/MoveBG/MapObjFence	TRailFence::goOnRail()	98.84	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 7 effect 1 address differs: 0x4d4 'lwz r3,0(r30)' vs 0x6e0 'lwz ) not confirmed by symx
mario/Player/ModelWaterManager	TModelWaterManager::calcDrawVtx(float(*)[4])	98.84	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/Option	TOptionControl::isChangedSetting() const	98.85	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/MapWire	TMapWire::init(const TCubeGeneralInfo*)	98.86	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 9 effect 6 call args differ: r7/r8: 0x4c4 'bl 4c4 <init__8TMapWi) not confirmed by symx
mario/Map/BathWaterManager	TBathWaterManager::initializeIfYet_()	98.86	UNSURE	symx loose 20 not resolved
mario/Enemy/bosstelesa	TBossTelesa::generateSlotItem()	98.87	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Camera/cameralib	CLBCalcPointInCubeRatio(const Vec&, const Vec&, const Vec&, const Vec&, float*, float*, float*)	98.88	EQUIVALENT	f1 at blr is garbage
mario/Enemy/bossManta	TBossMantaManager::spawn(int, const JGeometry::TVec3<float>&)	98.88	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/fireWanwan	TFireWanwan::moveObject()	98.89	EQUIVALENT	the else arm stores this+0x9c and mSpine->0x8 in the other order (independent); byte store with an extra clrlwi
mario/GC2D/Guide	TGuide::load(JSUMemoryInputStream&)	98.89	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MarioUtil/DrawUtil	SMS_AddDamageFogEffect(J3DModelData*, const JGeometry::TVec3<float>&, JDrama::TGraphics*)	98.89	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/MSoundMainSide	MSStageCubeFadeMonte::proc()	98.90	EQUIVALENT	same phi-nesting difference as setBgmVolumeForce
mario/Enemy/killer	TNerveFlyEnemyChaseFly::execute(TSpineBase<TLiveActor>*) const	98.91	UNSURE	velocity += step: retail adds to the member, ours to a set() copy; likely the same, not proven
mario/GC2D/CardLoad	TCardLoad::waitForChoice(TEProgress, TEProgress, int)	98.91	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 47 effect 21 icall args differ: r8: 0x8470 'bclrl 20,lt,0' vs 0x) not confirmed by symx
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::createChildParticle(JPABaseParticle*)	98.91	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjMare	TMapObjGrowTree::touchWater(THitActor*)	98.92	EQUIVALENT	retail calls getMActor(), ours reads the member
mario/MoveBG/MapObjMare	TMapObjGrowTree::control()	98.92	EQUIVALENT	retail calls getMActor(), ours reads the member
mario/Enemy/bossManta	TNerveMantaMove::execute(TSpineBase<TLiveActor>*) const	98.93	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjCorona	TBathtubGrip::receiveMessage(THitActor*, unsigned long)	98.93	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 46 effect 0: 0x3a0c 'lwz r0,0(r5)' vs 0x46d4 'stw r3,592(r4)') not confirmed by symx
mario/Camera/cameralib	CLBIsPointInCube(const Vec&, const Vec&, const Vec&, const Vec&)	98.94	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bgtentacle	TBGTentacle::calcAttackGuideAnm()	98.94	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/rocket	TNerveRocketFly::execute(TSpineBase<TLiveActor>*) const	98.94	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/MarioPhysics	TMario::checkGroundAtJumping(const Vec&, int)	98.94	UNSURE	one successor tests phi(0,1)==0 (retail) vs phi(1,2,7)==7 (ours); not resolved
mario/Player/Tongue	TYoshiTongue::calcAnim(float(*)[4])	98.94	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 15 effect 45 icall args differ: f6: 0x3cc 'bclrl 20,lt,0' vs 0x4) not confirmed by symx
mario/Enemy/bossgesso	TBGBeakHit::receiveMessage(THitActor*, unsigned long)	98.95	BUG, fixed 44107bc2	water-hit particle emitted at &mPosition (the beak); retail passes &sender->mPosition (r5 = a4+0x10); fixed, 98.95 -> 99.95
mario/Enemy/fireWanwan	TFireWanwanTailHit::perform(unsigned long, JDrama::TGraphics*)	98.95	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosseel	TBossEel::perform(unsigned long, JDrama::TGraphics*)	98.95	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 37 effect 0 call args differ: f5: 0x3788 'bl 3788 <perform__8TBo) not confirmed by symx
mario/MarioUtil/MtxUtil	TMtxTimeLag::calc(float(*)[4])	98.96	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 20 effect 19 address differs: 0x1bfc 'lfs f0,52(r31)' vs 0x1e30 ) not confirmed by symx
mario/System/Application	TApplication::gameLoop()	98.96	EQUIVALENT	gSetupThread named vs section-relative; OSGetTick/THPPlayerDrawDone take no args (garbage)
mario/Enemy/wireTrap	TWireTrap::checkHitActors()	98.97	BUG, fixed 44107bc2	second behaveHitWireTrap: retail passes the partner trap itself (both WireTrapReaction expansions on r27), ours passed this; fixed, 98.97 -> 99.04
mario/Enemy/Kumokun	TKumokun::decideTargetAtDir(const JGeometry::TVec3<float>&)	98.98	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
